"id_car";"manufacturer";"model";"categorie";"nbDoors"
1;"AC";"ACE";"Cabriolet";""
2;"AC";"ACE";"Cabriolet";""
3;"AC";"ACE";"Cabriolet";""
4;"AC";"ACE";"Roadster";""
5;"AC";"ACE";"Roadster";""
6;"AC";"ACE";"Roadster";""
7;"AC";"ACE";"Roadster";""
8;"AC";"ACE";"Roadster";""
9;"AC";"ACE";"Roadster";""
10;"AC";"Aceca";"Coupe";""
11;"AC";"Aceca";"Coupe";""
12;"AC";"Aceca";"Coupe";""
13;"AC";"Cobra";"Roadster";""
14;"AC";"Cobra";"Roadster";""
15;"AC";"Cobra";"Roadster";""
16;"AC";"Cobra";"Roadster";""
17;"AC";"Cobra";"Roadster";""
18;"AC";"Cobra";"Roadster";""
19;"AC";"Cobra";"Roadster";""
20;"AC";"Cobra";"Roadster";""
21;"AC";"Cobra";"Roadster";""
22;"AC";"Cobra";"Roadster";""
23;"Acura";"CL";"Coupe";""
24;"Acura";"CL";"Coupe";""
25;"Acura";"CL";"Coupe";""
26;"Acura";"CL";"Coupe";""
27;"Acura";"CL";"Coupe";""
28;"Acura";"CL";"Coupe";""
29;"Acura";"CL";"Coupe";""
30;"Acura";"CL";"Coupe";""
31;"Acura";"CL";"Coupe";""
32;"Acura";"CSX";"Sedan";""
33;"Acura";"CSX";"Sedan";""
34;"Acura";"EL";"Sedan";""
35;"Acura";"EL";"Sedan";""
36;"Acura";"ILX";"Sedan";""
37;"Acura";"Integra";"Coupe";""
38;"Acura";"Integra";"Coupe";""
39;"Acura";"Integra";"Coupe";""
40;"Acura";"Integra";"Coupe";""
41;"Acura";"Integra";"Coupe";""
42;"Acura";"Integra";"Hatchback 3 doors";""
43;"Acura";"Integra";"Hatchback 3 doors";""
44;"Acura";"Integra";"Hatchback 3 doors";""
45;"Acura";"Integra";"Hatchback 3 doors";""
46;"Acura";"Integra";"Hatchback 5 doors";""
47;"Acura";"Integra";"Hatchback 5 doors";""
48;"Acura";"Integra";"Hatchback 5 doors";""
49;"Acura";"Integra";"Hatchback 5 doors";""
50;"Acura";"Integra";"Sedan";""
51;"Acura";"Integra";"Sedan";""
52;"Acura";"Integra";"Sedan";""
